Time,Time Code,Country Name,Country Code, ,"Population, total [SP.POP.TOTL]",Net migration [SM.POP.NETM],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL]
,,,,Scale (Precision),Unit (0.0),Unit (0.0),Unit (0.0),Unit (0.0)
2021,YR2021,South Sudan,SSD,,10865780.0,-154359.0,8636774.0,2229006.0
2021,YR2021,Spain,ESP,,47443821.0,144385.0,8987757.0,38456064.0
2021,YR2021,Sri Lanka,LKA,,22156000.0,-29586.0,17977378.0,4178622.0
2021,YR2021,St. Kitts and Nevis,KNA,,46763.0,-92.0,32310.0,14453.0
2021,YR2021,St. Lucia,LCA,,178522.0,0.0,144710.0,33812.0
2021,YR2021,St. Martin (French part),MAF,,29961.0,-1209.0,,
2021,YR2021,St. Vincent and the Grenadines,VCT,,102841.0,-851.0,47870.0,54971.0
2021,YR2021,Sudan,SDN,,48066924.0,31664.0,30958464.0,17108460.0
2021,YR2021,Suriname,SUR,,617896.0,-486.0,208731.0,409165.0
2021,YR2021,Sweden,SWE,,10415811.0,51947.0,1225108.0,9190703.0
2021,YR2021,Switzerland,CHE,,8704546.0,50665.0,2263530.0,6441016.0
2021,YR2021,Syrian Arab Republic,SYR,,21628839.0,211220.0,9489869.0,12138970.0
2021,YR2021,Tajikistan,TJK,,9966908.0,-3564.0,7203483.0,2763425.0
2021,YR2021,Tanzania,TZA,,62830412.0,-7704.0,40240366.0,22590046.0
2021,YR2021,Thailand,THA,,71727332.0,-2093.0,34312204.0,37415128.0
2021,YR2021,Timor-Leste,TLS,,1350139.0,3111.0,922212.0,427927.0
2021,YR2021,Togo,TGO,,8878379.0,-986.0,5028891.0,3849488.0
2021,YR2021,Tonga,TON,,105490.0,-2220.0,81118.0,24372.0
2021,YR2021,Trinidad and Tobago,TTO,,1367558.0,5749.0,639128.0,728430.0
2021,YR2021,Tunisia,TUN,,12048622.0,-9190.0,3628081.0,8420541.0
2021,YR2021,Turkiye,TUR,,84147318.0,20283.0,19716558.0,64430760.0
2021,YR2021,Turkmenistan,TKM,,7092043.0,17617.0,3333402.0,3758641.0
2021,YR2021,Turks and Caicos Islands,TCA,,45243.0,682.0,2790.0,42453.0
2021,YR2021,Tuvalu,TUV,,10194.0,-366.0,3590.0,6604.0
2021,YR2021,Uganda,UGA,,45910930.0,43464.0,34179310.0,11731620.0
2021,YR2021,Ukraine,UKR,,44298640.0,-1129.0,13397238.0,30901402.0
2021,YR2021,United Arab Emirates,ARE,,9575152.0,421663.0,1216140.0,8359012.0
2021,YR2021,United Kingdom,GBR,,66984000.0,462967.0,10615624.0,56368376.0
2021,YR2021,United States,USA,,332099760.0,674787.0,56878726.0,275221034.0
2021,YR2021,Uruguay,URY,,3396695.0,-1482.0,149353.0,3247342.0
2021,YR2021,Uzbekistan,UZB,,34243696.0,-9205.0,16975627.0,17268069.0
2021,YR2021,Vanuatu,VUT,,305868.0,-201.0,227367.0,78501.0
2021,YR2021,"Venezuela, RB",VEN,,28237826.0,-332936.0,3296766.0,24941060.0
2021,YR2021,Viet Nam,VNM,,98935098.0,-5418.0,61288315.0,37646783.0
2021,YR2021,Virgin Islands (U.S.),VIR,,105870.0,-214.0,4192.0,101678.0
2021,YR2021,West Bank and Gaza,PSE,,4922749.0,-12369.0,1132085.0,3790664.0
2021,YR2021,"Yemen, Rep.",YEM,,37140230.0,-81248.0,22824157.0,14316073.0
2021,YR2021,Zambia,ZMB,,19603607.0,8143.0,10744345.0,8859262.0
2021,YR2021,Zimbabwe,ZWE,,15797210.0,-74623.0,10694237.0,5102973.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,
Last Updated: 07/02/2025,,,,,,,,
