object_type,Cultures/periods,count
painting,Heisei Era,20
painting,Persian,20
finger-ring,18th Dynasty,20
vessel,Late Christian Period,20
vessel,East Greek,20
bowl,Post-Medieval,20
illustratedbook,Kaei Era,20
flake,Middle Stone Age,20
painting,Qing dynasty,20
textile,Late Christian Period,20
flake,Upper Palaeolithic,20
textile,Chancay,20
columnkrater,Attic,20
square-headedbrooch,Early Anglo-Saxon,20
coin,Ostrogothic,20
askos,Attic,19
tray,Qing dynasty,19
strap-end,Early Anglo-Saxon,19
coin,Vandal,19
vessel,Anglo-Saxon,19
plaque,Mesopotamian,19
comb,Early Anglo-Saxon,19
vessel,Colonial,19
pendant,Iron Age,19
bead,18th Dynasty,19
illustratedbook,Ansei Era,19
tankard,Post-Medieval,19
bead,Islamic,19
flower-vase,Heisei Era,19
hacksilver,Viking,19
coffee-cup,Qing dynasty,19
sax,Merovingian,19
figure,Graeco-Roman,19
vessel,Middle Bronze Age,19
ewer,Ming dynasty,19
bowl,East Greek,19
toilet-toolimplement,Romano-British,19
scarab,19th Dynasty,19
ornament,Bronze Age,19
tablet,Kassite,19
illustratedbook,Meiwa Era,19
fish-hook,Bronze Age,19
illustratedbook,Kyoho Era,19
weight,Romano-British,19
stamp-seal,Early Sasanian,19
chatelaine,Early Anglo-Saxon,19
bowbrooch,Romano-British,19
jar,Yuan dynasty,19
urn,Neolithic,19
triptychprint,Bunsei Era,19
calligraphy,Showa Era,19
jar,Song dynasty,19
vessel,Moche,19
dish,Yuan dynasty,19
water-ewer,Middle Islamic,19
votivefigure,Etruscan,19
borer,Neolithic/Bronze Age,19
sianacup,Attic,19
smoking-pipe,Ottoman dynasty,19
lekanis,Attic,19
toolimplement,Romano-British,19
vessel,Tang dynasty,19
quern,Romano-British,19
finger-ring,Iron Age,19
amulet,18th Dynasty,19
plate,Romano-British,18
beaker,Iron Age,18
plaque,New Kingdom,18
tea-jar,Edo Period,18
textile,Chimu,18
artefact,Islamic,18
spindle-whorl,Romano-British,18
halberd,Early Bronze Age,18
bead,Neo-Assyrian,18
statue,19th Dynasty,18
illustratedbook,Anei Era,18
pin,Celtic,18
print,Kaei Era,18
ostracon,Ptolemaic,18
tablet,Middle Assyrian,18
tablet,Seleucid Dynasty,18
shabti,Late Period,18
alabastron,Attic,18
coffin,Late Period,18
model,Mesopotamian,18
dish,Mesopotamian,18
transversearrow-head,Neolithic/Bronze Age,18
stamp-seal,Iron Age,18
lamp,Islamic,18
bottle,Edo Period,18
dinos,East Greek,18
vase,18th Dynasty,18
ball,Neolithic,18
bowl,Northern Song dynasty,18
pyxis,Attic,18
wrist-clasp,Early Anglo-Saxon,18
censer,Qing dynasty,18
buckle,Germanic,18
brick,Neo-Babylonian Dynasty,18
endscraper,Neolithic,18
ornament,Romano-British,18
figure,Etruscan,18
bowl,Ptolemaic,17
bowl,Roman Period,17
urn,Neolithic/Bronze Age,17
vessel,Ayyubid dynasty,17
hangingbowl,Celtic,17
plaque,Late Medieval,17
floor-tile,Post-Medieval,17
vessel,Halaf,17
statue,12th Dynasty,17
handaxe,Early Stone Age,17
plate,Attic,17
jar,Ubaid,17
cleaver,Palaeolithic,17
discbrooch,Merovingian,17
cylinderseal,Assyrian,17
cast,Middle Palaeolithic,17
model,First Intermediate,17
meiping,Ming dynasty,17
sheet,Iron Age,17
bowl,1st Dynasty,17
toolimplement,Iron Age,17
calyx-krater,Attic,17
mirror,Iron Age,17
brick,Middle Elamite,17
handscroll,Edo Period,17
pin,Late Bronze Age,17
plate,Post-Medieval,17
bead,Merovingian,17
bottle,Ming dynasty,17
artefact,Mesopotamian,17
chalice,East Greek,17
pick,Neolithic,17
portraitbust,Roman,17
pendant,New Kingdom,17
pin,Neolithic/Bronze Age,17
retouchedflake,Middle Palaeolithic,17
brooch,Late Medieval,17
figure,Mesopotamian,17
figurine,Formative,17
fitting,Bronze Age,17
rubbing,Qing dynasty,17
tablet,Mesopotamian,17
arm-ring,Viking,17
jar,Akkadian,17
jar,1st Dynasty,17
papyrus,Late Period,17
armlet,Iron Age,17
ostracon,Late Period,17
ewer,Islamic,17
drug-pot,Post-Medieval,17
sax-sheath,Merovingian,17
figure,Early Historic,17
scraper,1st Dynasty,17
stamp-seal,Assyrian,16
vessel,Christian,16
awl,Romano-British,16
humanmummy,Roman Period,16
vase,Predynastic,16
poster,Peoples Republic of China,16
amulet,Roman Period,16
bracelet,Italic,16
